"species","preferred_species_name","tvk","rtvk","seasonal_recording_period","additional_checks_required","id_difficulty"
"Linepithema iniquinum","Linepithema iniquum","NHMSYS0020936594","NHMSYS0021179371",,,"4: Species needs confirmation from national expert."
"Monomorium floricola","Monomorium floricola","NBNSYS0100004108","NBNSYS0100004108",,,"4: Species needs confirmation from national expert."
"Monomorium pharaonis","Monomorium pharaonis","NHMSYS0000876350","NHMSYS0000876350","01-01 to 11-30",,"4: Species needs confirmation from national expert."
"Myrmecina graminicola","Myrmecina graminicola","NHMSYS0000876357","NHMSYS0000876357",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Myrmica hirsuta","Myrmica hirsuta","NHMSYS0000876362","NHMSYS0000876362","04-01 to 08-31","1: This is a rare species","4: Species needs confirmation from national expert."
"Myrmica karavajevi","Myrmica karavajevi","NHMSYS0000876363","NHMSYS0000876363","07-01 to 10-31","1: This is a rare species","4: Species needs confirmation from national expert."
"Myrmica lobicornis","Myrmica lobicornis","NHMSYS0000876365","NHMSYS0000876365","02-01 to 12-31","1: This is a rare species","4: Species needs confirmation from national expert."
"Myrmica lonae","Myrmica lonae","NHMSYS0020545625","NHMSYS0020545625","06-01 to 06-30","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Myrmica rubra","Myrmica rubra","NBNSYS0000009343","NBNSYS0000009343",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Myrmica ruginodis","Myrmica ruginodis","NHMSYS0000876371","NHMSYS0000876371",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Myrmica sabuleti","Myrmica sabuleti","NHMSYS0000876373","NHMSYS0000876373",,,"4: Species needs confirmation from national expert."
"Myrmica scabrinodis","Myrmica scabrinodis","NHMSYS0000876374","NHMSYS0000876374",,,"4: Species needs confirmation from national expert."
"Myrmica schencki","Myrmica schencki","NHMSYS0000876375","NHMSYS0000876375",,"1: This is a rare species","4: Species needs confirmation from national expert."
"Myrmica specioides","Myrmica specioides","NHMSYS0000876376","NHMSYS0000876376","03-01 to 12-31","1: This is a rare species","4: Species needs confirmation from national expert."
"Myrmica sulcinodis","Myrmica sulcinodis","NHMSYS0000876377","NHMSYS0000876377","03-01 to 11-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Myrmica vandeli","Myrmica vandeli","NHMSYS0000876379","NHMSYS0000876379","09-01 to 10-31","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Paratrechina longicornis","Paratrechina longicornis","NHMSYS0000876533","NHMSYS0000876533",,,"4: Species needs confirmation from national expert."
"Pheidole megacephala","Pheidole megacephala","NHMSYS0000876573","NHMSYS0000876573",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Ponera coarctata","Ponera coarctata","NHMSYS0000876602","NHMSYS0000876602","03-01 to 11-30","1: This is a rare species","4: Species needs confirmation from national expert."
"Ponera testacea","Ponera testacea","NHMSYS0020936606","NHMSYS0020936606",,"1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Solenopsis fugax","Solenopsis fugax","NHMSYS0000876673","NHMSYS0000876673",,"1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Stenamma debile","Stenamma debile","NBNSYS0100005585","NBNSYS0100005585","02-01 to 12-31",,"4: Species needs confirmation from national expert."
"Stenamma westwoodii","Stenamma westwoodii","NHMSYS0000873267","NHMSYS0000873267",,"1: This is a rare species","4: Species needs confirmation from national expert."
"Strongylognathus testaceus","Strongylognathus testaceus","NHMSYS0000876720","NHMSYS0000876720","07-01 to 09-30","1: This is a rare species","4: Species needs confirmation from national expert."
"Tapinoma erraticum","Tapinoma erraticum","NHMSYS0000876738","NHMSYS0000876738",,"1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Tapinoma erraticum sensu lato","Tapinoma erraticum sensu lato","NHMSYS0020936618","NHMSYS0020936618","04-01 to 10-31",,
"Tapinoma melanocephalum","Tapinoma melanocephalum","NHMSYS0000876739","NHMSYS0000876739",,,"4: Species needs confirmation from national expert."
"Tapinoma subboreale","Tapinoma subboreale","NHMSYS0020977379","NHMSYS0020977379",,"1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Temnothorax albipennis","Temnothorax albipennis","NHMSYS0000876741","NHMSYS0000876741",,"1: This is a rare species","4: Species needs confirmation from national expert."
"Temnothorax interruptus","Temnothorax interruptus","NHMSYS0000876742","NHMSYS0000876742","04-01 to 10-31","1: This is a rare species","4: Species needs confirmation from national expert."
"Temnothorax nylanderi","Temnothorax nylanderi","NHMSYS0000876743","NHMSYS0000876743",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Tetramorium bicarinatum","Tetramorium bicarinatum","NHMSYS0000876750","NHMSYS0000876750","05-01 to 12-31",,"4: Species needs confirmation from national expert."
"Tetramorium caespitum","Tetramorium caespitum","NHMSYS0000876751","NHMSYS0000876751","03-01 to 11-30",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Tetramorium caldarium","Tetramorium caldarium","NHMSYS0020936630","NHMSYS0020936630",,,"4: Species needs confirmation from national expert."
"Tetramorium simillimum","Tetramorium simillimum","NHMSYS0000876754","NHMSYS0000876754",,,"4: Species needs confirmation from national expert."
"Dufourea halictula","Dufourea halictula","NHMSYS0000875860","NHMSYS0000875860","06-01 to 06-30","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Dufourea minuta","Dufourea minuta","NBNSYS0000009745","NBNSYS0000009745","06-01 to 08-31","1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Halictus confusus","Halictus confusus","NHMSYS0000876021","NHMSYS0000876021","04-01 to 10-31","1: This is a rare species",
"Halictus (Seladonia) confusus","Halictus confusus","NHMSYS0000876016","NHMSYS0000876021",,,"4: Species needs confirmation from national expert."
"Halictus eurygnathus","Halictus eurygnathus","NHMSYS0000876022","NHMSYS0000876022","05-01 to 09-30","1: This is a rare species",
"Halictus (Halictus) eurygnathus","Halictus eurygnathus","NHMSYS0000876010","NHMSYS0000876022",,,"4: Species needs confirmation from national expert."
"Halictus maculatus","Halictus maculatus","NHMSYS0000876025","NHMSYS0000876025","05-01 to 09-30","1: This is a rare species",
"Halictus (Halictus) maculatus","Halictus maculatus","NHMSYS0000876011","NHMSYS0000876025",,,"5: Voucher specimen required to be examined by national expert."
"Halictus rubicundus","Halictus rubicundus","NHMSYS0000876030","NHMSYS0000876030","03-01 to 10-31",,
"Halictus (Halictus) rubicundus","Halictus rubicundus","NHMSYS0000876013","NHMSYS0000876030",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Halictus subauratus","Halictus subauratus","NHMSYS0000876032","NHMSYS0000876032",,"1: This is a rare species",
"Halictus (Seladonia) subauratus","Halictus subauratus","NHMSYS0000876018","NHMSYS0000876032",,,"5: Voucher specimen required to be examined by national expert."
"Halictus tumulorum","Halictus tumulorum","NHMSYS0000876034","NHMSYS0000876034","03-01 to 12-31",,
"Halictus (Seladonia) tumulorum","Halictus tumulorum","NHMSYS0000876019","NHMSYS0000876034",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Lasioglossum albipes","Lasioglossum albipes","NHMSYS0000876168","NHMSYS0000876168","03-01 to 11-30",,
"Lasioglossum (Evylaeus) albipes","Lasioglossum albipes","NHMSYS0000876137","NHMSYS0000876168",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum angusticeps","Lasioglossum angusticeps","NHMSYS0000876169","NHMSYS0000876169","04-01 to 09-30","1: This is a rare species",
"Lasioglossum (Evylaeus) angusticeps","Lasioglossum angusticeps","NHMSYS0000876138","NHMSYS0000876169",,,"4: Species needs confirmation from national expert."
"Lasioglossum brevicorne","Lasioglossum brevicorne","NHMSYS0000876173","NHMSYS0000876173","05-01 to 09-30","1: This is a rare species",
"Lasioglossum (Evylaeus) brevicorne","Lasioglossum brevicorne","NHMSYS0000876139","NHMSYS0000876173",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum calceatum","Lasioglossum calceatum","NHMSYS0000876174","NHMSYS0000876174","01-01 to 11-30",,
"Lasioglossum (Evylaeus) calceatum","Lasioglossum calceatum","NHMSYS0000876140","NHMSYS0000876174",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum cupromicans","Lasioglossum cupromicans","NHMSYS0000876175","NHMSYS0000876175","04-01 to 10-31",,
"Lasioglossum (Dialictus) cupromicans","Lasioglossum cupromicans","NHMSYS0000876130","NHMSYS0000876175",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum fratellum","Lasioglossum fratellum","NHMSYS0000876178","NHMSYS0000876178","03-01 to 10-31",,
"Lasioglossum (Evylaeus) fratellum","Lasioglossum fratellum","NHMSYS0000876141","NHMSYS0000876178",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum fulvicorne","Lasioglossum fulvicorne","NHMSYS0000876180","NHMSYS0000876180","02-01 to 10-31",,
"Lasioglossum (Evylaeus) fulvicorne","Lasioglossum fulvicorne","NHMSYS0000876142","NHMSYS0000876180",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum laeve","Lasioglossum laeve","NHMSYS0000876183","NHMSYS0000876183",,"1: This is a rare species",
"Lasioglossum (Evylaeus) laeve","Lasioglossum laeve","NHMSYS0000876143","NHMSYS0000876183",,,"5: Voucher specimen required to be examined by national expert."
"Lasioglossum laevigatum","Lasioglossum laevigatum","NHMSYS0000876184","NHMSYS0000876184","03-01 to 10-31",,
"Lasioglossum (Lasioglossum) laevigatum","Lasioglossum laevigatum","NHMSYS0000876159","NHMSYS0000876184",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum laticeps","Lasioglossum laticeps","NHMSYS0000876185","NHMSYS0000876185","03-01 to 09-30","1: This is a rare species",
"Lasioglossum (Evylaeus) laticeps","Lasioglossum laticeps","NHMSYS0000876144","NHMSYS0000876185",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum lativentre","Lasioglossum lativentre","NBNSYS0100003668","NBNSYS0100003668","02-01 to 10-31",,
"Lasioglossum (Lasioglossum) lativentre","Lasioglossum lativentre","NHMSYS0000876160","NBNSYS0100003668",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum leucopus","Lasioglossum leucopus","NBNSYS0100003669","NBNSYS0100003669","03-01 to 10-31",,
"Lasioglossum (Dialictus) leucopus","Lasioglossum leucopus","NHMSYS0000876133","NBNSYS0100003669",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum leucozonium","Lasioglossum leucozonium","NHMSYS0000876186","NHMSYS0000876186","03-01 to 12-31",,
"Lasioglossum (Lasioglossum) leucozonium","Lasioglossum leucozonium","NHMSYS0000876161","NHMSYS0000876186",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum malachurum","Lasioglossum malachurum","NBNSYS0100003670","NBNSYS0100003670","02-01 to 11-30",,
"Lasioglossum (Evylaeus) malachurum","Lasioglossum malachurum","NHMSYS0000876147","NBNSYS0100003670",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum minutissimum","Lasioglossum minutissimum","NHMSYS0000876191","NHMSYS0000876191","03-01 to 11-30",,
"Lasioglossum (Evylaeus) minutissimum","Lasioglossum minutissimum","NHMSYS0000876148","NHMSYS0000876191",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum morio","Lasioglossum morio","NHMSYS0000876193","NHMSYS0000876193","02-01 to 11-30",,
"Lasioglossum (Dialictus) morio","Lasioglossum morio","NHMSYS0000876134","NHMSYS0000876193",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum nitidiusculum","Lasioglossum nitidiusculum","NHMSYS0000876195","NHMSYS0000876195","03-01 to 10-31","1: This is a rare species",
"Lasioglossum (Evylaeus) nitidiusculum","Lasioglossum nitidiusculum","NHMSYS0000876149","NHMSYS0000876195",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum parvulum","Lasioglossum parvulum","NHMSYS0000876198","NHMSYS0000876198","02-01 to 10-31",,
"Lasioglossum (Evylaeus) parvulum","Lasioglossum parvulum","NHMSYS0000876150","NHMSYS0000876198",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum pauperatum","Lasioglossum pauperatum","NHMSYS0000876199","NHMSYS0000876199","03-01 to 09-30","1: This is a rare species",
"Lasioglossum (Evylaeus) pauperatum","Lasioglossum pauperatum","NHMSYS0000876151","NHMSYS0000876199",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum pauxillum","Lasioglossum pauxillum","NHMSYS0000876200","NHMSYS0000876200","03-01 to 10-31",,
"Lasioglossum (Evylaeus) pauxillum","Lasioglossum pauxillum","NHMSYS0000876152","NHMSYS0000876200",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum prasinum","Lasioglossum prasinum","NHMSYS0000876201","NHMSYS0000876201","04-01 to 11-30","1: This is a rare species",
"Lasioglossum (Lasioglossum) prasinum","Lasioglossum prasinum","NHMSYS0000876162","NHMSYS0000876201",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum punctatissimum","Lasioglossum punctatissimum","NHMSYS0000876202","NHMSYS0000876202","03-01 to 10-31",,
"Lasioglossum (Evylaeus) punctatissimum","Lasioglossum punctatissimum","NHMSYS0000876153","NHMSYS0000876202",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum puncticolle","Lasioglossum puncticolle","NHMSYS0000876203","NHMSYS0000876203","03-01 to 10-31",,
"Lasioglossum (Evylaeus) puncticolle","Lasioglossum puncticolle","NHMSYS0000876154","NHMSYS0000876203",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum quadrinotatum","Lasioglossum quadrinotatum","NHMSYS0000876205","NHMSYS0000876205","03-01 to 09-30","1: This is a rare species",
"Lasioglossum (Lasioglossum) quadrinotatum","Lasioglossum quadrinotatum","NHMSYS0000876163","NHMSYS0000876205",,,"4: Species needs confirmation from national expert."
"Lasioglossum rufitarse","Lasioglossum rufitarse","NHMSYS0000876206","NHMSYS0000876206","02-01 to 10-31",,
"Lasioglossum (Evylaeus) rufitarse","Lasioglossum rufitarse","NHMSYS0000876155","NHMSYS0000876206",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum semilucens","Lasioglossum semilucens","NHMSYS0000876208","NHMSYS0000876208","04-01 to 10-31","1: This is a rare species",
"Lasioglossum (Evylaeus) semilucens","Lasioglossum semilucens","NHMSYS0000876156","NHMSYS0000876208",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum sexnotatum","Lasioglossum sexnotatum","NHMSYS0000876210","NHMSYS0000876210","04-01 to 08-31","1: This is a rare species",
"Lasioglossum (Lasioglossum) sexnotatum","Lasioglossum sexnotatum","NHMSYS0000876164","NHMSYS0000876210",,,"4: Species needs confirmation from national expert."
"Lasioglossum sexstrigatum","Lasioglossum sexstrigatum","NHMSYS0020936576","NHMSYS0020936576",,"1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Lasioglossum (Dialictus) smeathmanellum","Lasioglossum smeathmanellum","NHMSYS0000876135","NHMSYS0000876212",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum villosulum","Lasioglossum villosulum","NHMSYS0000876215","NHMSYS0000876215","02-01 to 11-30",,
"Lasioglossum (Evylaeus) villosulum","Lasioglossum villosulum","NHMSYS0000876157","NHMSYS0000876215",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum xanthopus","Lasioglossum xanthopus","NHMSYS0000876217","NHMSYS0000876217","03-01 to 10-31","1: This is a rare species",
"Lasioglossum (Lasioglossum) xanthopus","Lasioglossum xanthopus","NHMSYS0000876165","NHMSYS0000876217",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Lasioglossum zonulum","Lasioglossum zonulum","NHMSYS0000876218","NHMSYS0000876218","03-01 to 10-31",,
"Lasioglossum (Lasioglossum) zonulum","Lasioglossum zonulum","NHMSYS0000876166","NHMSYS0000876218",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Rophites quinquespinosus","Rophites quinquespinosus","NHMSYS0000876662","NHMSYS0000876662",,"1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Sphecodes crassus","Sphecodes crassus","NBNSYS0000009728","NBNSYS0000009728","03-01 to 09-30",,"4: Species needs confirmation from national expert."
"Sphecodes ephippius","Sphecodes ephippius","NHMSYS0000876679","NHMSYS0000876679","03-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Sphecodes ferruginatus","Sphecodes ferruginatus","NHMSYS0000876681","NHMSYS0000876681","04-01 to 09-30","1: This is a rare species","4: Species needs confirmation from national expert."
"Sphecodes geoffrellus","Sphecodes geoffrellus","NBNSYS0100005568","NBNSYS0100005568","01-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Sphecodes gibbus","Sphecodes gibbus","NHMSYS0000876682","NHMSYS0000876682","03-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Sphecodes hyalinatus","Sphecodes hyalinatus","NHMSYS0000876683","NHMSYS0000876683","04-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Sphecodes longulus","Sphecodes longulus","NHMSYS0000876684","NHMSYS0000876684","04-01 to 10-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Sphecodes miniatus","Sphecodes miniatus","NBNSYS0000009736","NBNSYS0000009736","04-01 to 09-30","1: This is a rare species","4: Species needs confirmation from national expert."
"Sphecodes monilicornis","Sphecodes monilicornis","NHMSYS0000876686","NHMSYS0000876686","03-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Sphecodes niger","Sphecodes niger","NHMSYS0000876687","NHMSYS0000876687","04-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Sphecodes pellucidus","Sphecodes pellucidus","NHMSYS0000876688","NHMSYS0000876688","03-01 to 12-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Sphecodes puncticeps","Sphecodes puncticeps","NHMSYS0000876691","NHMSYS0000876691","04-01 to 12-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Sphecodes reticulatus","Sphecodes reticulatus","NHMSYS0000876692","NHMSYS0000876692","03-01 to 10-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Sphecodes rubicundus","Sphecodes rubicundus","NBNSYS0000009742","NBNSYS0000009742","04-01 to 07-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Sphecodes scabricollis","Sphecodes scabricollis","NHMSYS0000876694","NHMSYS0000876694","04-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Sphecodes spinulosus","Sphecodes spinulosus","NHMSYS0000876697","NHMSYS0000876697","05-01 to 08-31","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Anthidium manicatum","Anthidium manicatum","NHMSYS0000875389","NHMSYS0000875389","03-01 to 09-30",,
"Anthidium (Anthidium) manicatum","Anthidium manicatum","NHMSYS0000875386","NHMSYS0000875389",,,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Chelostoma campanularum","Chelostoma campanularum","NHMSYS0000875648","NHMSYS0000875648","05-01 to 09-30",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Chelostoma florisomne","Chelostoma florisomne","NHMSYS0000875649","NHMSYS0000875649","05-01 to 08-31",,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Coelioxys afra","Coelioxys afra","NHMSYS0000875697","NHMSYS0000875697",,"1: This is a rare species",
"Coelioxys (Allocoelioxys) afra","Coelioxys afra","NHMSYS0000875687","NHMSYS0000875697",,,"5: Voucher specimen required to be examined by national expert."
"Coelioxys (Coelioxys) conoidea","Coelioxys conoidea","NHMSYS0000875690","NBNSYS0000144805","05-01 to 08-31",,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Coelioxys elongata","Coelioxys elongata","NHMSYS0000875700","NHMSYS0000875700","05-01 to 09-30",,
"Coelioxys inermis","Coelioxys inermis","NHMSYS0000875701","NHMSYS0000875701","05-01 to 09-30","1: This is a rare species",
"Coelioxys (Coelioxys) inermis","Coelioxys inermis","NHMSYS0000875692","NHMSYS0000875701",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Coelioxys mandibularis","Coelioxys mandibularis","NHMSYS0000875702","NHMSYS0000875702","05-01 to 08-31","1: This is a rare species",
"Coelioxys (Coelioxys) mandibularis","Coelioxys mandibularis","NHMSYS0000875693","NHMSYS0000875702",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Coelioxys quadridentata","Coelioxys quadridentata","NHMSYS0000875703","NHMSYS0000875703","06-01 to 09-30","1: This is a rare species",
"Coelioxys (Coelioxys) quadridentata","Coelioxys quadridentata","NHMSYS0000875694","NHMSYS0000875703",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Coelioxys rufescens","Coelioxys rufescens","NHMSYS0000875704","NHMSYS0000875704","05-01 to 12-31","1: This is a rare species",
"Coelioxys (Coelioxys) rufescens","Coelioxys rufescens","NHMSYS0000875695","NHMSYS0000875704",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Heriades rubicola","Heriades rubicola","NHMSYS0020936564","NHMSYS0020936564",,"1: This is a rare species","5: Voucher specimen required to be examined by national expert."
"Heriades truncorum","Heriades truncorum","NHMSYS0000876052","NHMSYS0000876052","05-01 to 09-30","1: This is a rare species","3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Hoplitis claviventris","Hoplitis claviventris","NHMSYS0000876071","NHMSYS0000876071","01-01 to 09-30",,
"Hoplitis (Alcidamea) claviventris","Hoplitis claviventris","NHMSYS0000876067","NHMSYS0000876071",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Hoplitis leucomelana","Hoplitis leucomelana","NHMSYS0000876073","NHMSYS0000876073",,"1: This is a rare species",
"Hoplitis (Alcidamea) leucomelana","Hoplitis leucomelana","NHMSYS0000876068","NHMSYS0000876073",,,"5: Voucher specimen required to be examined by national expert."
"Megachile centuncularis","Megachile centuncularis","NHMSYS0000876295","NHMSYS0000876295","03-01 to 09-30",,
"Megachile (Megachile) centuncularis","Megachile centuncularis","NHMSYS0000876286","NHMSYS0000876295",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Megachile circumcincta","Megachile circumcincta","NHMSYS0000876296","NHMSYS0000876296","05-01 to 08-31","1: This is a rare species",
"Megachile (Xanthosarus) circumcincta","Megachile circumcincta","NHMSYS0000876292","NHMSYS0000876296",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Megachile ericetorum","Megachile ericetorum","NBNSYS0000173000","NBNSYS0000173000",,"1: This is a rare species",
"Chalicodoma (Pseudomegachile) ericetorum","Megachile ericetorum","NHMSYS0000875642","NBNSYS0000173000",,,"5: Voucher specimen required to be examined by national expert."
"Megachile lapponica","Megachile lapponica","NHMSYS0000876298","NHMSYS0000876298",,"1: This is a rare species",
"Megachile (Megachile) lapponica","Megachile lapponica","NHMSYS0000876287","NHMSYS0000876298",,,"5: Voucher specimen required to be examined by national expert."
"Megachile (Eutricharaea) leachella","Megachile leachella","NHMSYS0020977393","NHMSYS0020977399",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Megachile ligniseca","Megachile ligniseca","NHMSYS0000876300","NHMSYS0000876300","03-01 to 10-31",,
"Megachile (Megachile) ligniseca","Megachile ligniseca","NHMSYS0000876288","NHMSYS0000876300",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Megachile maritima","Megachile maritima","NHMSYS0000876301","NHMSYS0000876301","05-01 to 09-30",,
"Megachile (Xanthosarus) maritima","Megachile maritima","NHMSYS0000876293","NHMSYS0000876301",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Megachile versicolor","Megachile versicolor","NHMSYS0000876302","NHMSYS0000876302","04-01 to 09-30",,
"Megachile (Megachile) versicolor","Megachile versicolor","NHMSYS0000876289","NHMSYS0000876302",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Megachile willughbiella","Megachile willughbiella","NHMSYS0000876303","NHMSYS0000876303","04-01 to 09-30",,
"Megachile (Delomegachile) willughbiella","Megachile willughbiella","NHMSYS0000876280","NHMSYS0000876303",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Osmia aurulenta","Osmia aurulenta","NHMSYS0000876507","NHMSYS0000876507","03-01 to 10-31",,
"Osmia (Helicosmia) aurulenta","Osmia aurulenta","NHMSYS0000876494","NHMSYS0000876507",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Osmia bicolor","Osmia bicolor","NHMSYS0000876508","NHMSYS0000876508","01-01 to 08-31",,
"Osmia (Neosmia) bicolor","Osmia bicolor","NHMSYS0000876502","NHMSYS0000876508",,,"2: Can be identified in the field with care and experience. Needs a good view or the netting of a specimen to check, but the specimen can then be released. May be identifiable from a good photo, or series of photos."
"Osmia (Osmia) rufa","Osmia bicornis","NHMSYS0000876504","NHMSYS0000876509",,,"1: Can be identified at sight in the field by anyone with a bit of experience. Species with which the beginner rapidly becomes familiar. Usually identifiable from a photo."
"Osmia caerulescens","Osmia caerulescens","NBNSYS0100004362","NBNSYS0100004362","03-01 to 09-30",,
"Osmia (Chalcosmia) caerulescens","Osmia caerulescens","NHMSYS0000876490","NBNSYS0100004362",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Osmia inermis","Osmia inermis","NHMSYS0000876512","NHMSYS0000876512","04-01 to 06-30","1: This is a rare species",
"Osmia (Melanosmia) inermis","Osmia inermis","NHMSYS0000876496","NHMSYS0000876512",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Osmia leaiana","Osmia leaiana","NHMSYS0000876513","NHMSYS0000876513","03-01 to 09-30",,
"Osmia (Chalcosmia) leaiana","Osmia leaiana","NHMSYS0000876491","NHMSYS0000876513",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Osmia parietina","Osmia parietina","NHMSYS0000876516","NHMSYS0000876516","04-01 to 09-30","1: This is a rare species",
"Osmia (Melanosmia) parietina","Osmia parietina","NHMSYS0000876497","NHMSYS0000876516",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
"Osmia pilicornis","Osmia pilicornis","NHMSYS0000876517","NHMSYS0000876517","03-01 to 07-31","1: This is a rare species",
"Osmia (Melanosmia) pilicornis","Osmia pilicornis","NHMSYS0000876498","NHMSYS0000876517",,,"3: Identification only accepted from known recorders or else needs confirmation from vice county recorder."
